Time,IDX0GBPEURCR,IDX0USDEURCR,ER01,ER02,HE00,H0A0,EU0009658152,FTPTT100,GDUEEGF,MSCI0GDLETCF,SPTR,NASDAQ100,IDX00GOLDBUL,IDX000WTIOIL,IDX00DJUBSCM
3/3/2000,0.006342,0.017491,-0.000264,-0.000364,0.000951,-0.00209,0.046333,0.047927,0.021588999999999997,-0.041993,0.05724,0.063249,-0.014634000000000001,0.042342000000000005,0.024988
3/10/2000,-0.00564,-0.004835,0.001032,0.002234,0.018077,-0.000102,-0.00613,0.014107,0.004647999999999999,0.045653,-0.009732,0.032477,0.006686,0.007934,-0.000603
3/17/2000,-0.009257,-0.008189,0.00229,0.004575,0.000169,-0.002659,-0.034238,0.000117,-0.035568,0.0040479999999999995,0.050069999999999996,-0.031983,-0.015869,-0.026763,0.004406
3/24/2000,0.006711,-0.005465,0.0008529999999999999,0.000807,-0.012355,-0.002677,0.028612000000000002,0.027618,0.029269,-0.01726,0.043045,0.056562,0.001075,-0.09511499999999999,-0.017245
3/31/2000,0.021991999999999998,0.023934999999999998,0.001212,0.001486,-0.013341,-0.009365,-0.024097,-0.029091000000000002,-0.027777,0.023565,-0.018757,-0.06261599999999999,-0.022611000000000003,-0.038255000000000004,-0.002088
4/7/2000,-0.006631999999999999,0.0006730000000000001,0.001772,0.001492,0.002344,0.001565,0.0019,0.004758,0.0023469999999999997,0.003279,0.01215,-0.024173,0.003906,-0.067286,-0.028244
4/14/2000,-0.002146,-0.006723999999999999,-0.000595,-0.0017579999999999998,0.001384,8.1e-05,-0.042752,-0.058571000000000005,-0.071599,0.045696,-0.105273,-0.253017,0.007479,0.021124,0.001335
4/21/2000,0.021966,0.026831,-0.000333,-0.001182,-0.009466,0.000699,0.017247,0.010555,-0.029122000000000002,0.055982000000000004,0.057573,0.093455,-0.010923,0.06479299999999999,0.015995
4/28/2000,0.010261,0.028516000000000003,-0.000333,-0.000588,0.001818,-0.002825,0.036805000000000004,0.014038,0.002238,-0.011871,0.01272,0.076424,-0.024163,-0.056451999999999995,-0.005345
5/5/2000,0.003246,0.017082,-0.002954,-0.007157999999999999,0.0015,-0.0030989999999999998,0.009618999999999999,-0.013822,-0.010762,0.019366,-0.013478,-0.02248,0.021697,0.060217999999999994,0.029591000000000003
5/12/2000,-0.030761,-0.024232,-0.000264,0.00044,-0.009616,-0.001935,-0.019559,0.007402,-0.031624,0.004275,-0.0075450000000000005,-0.076487,-0.0034270000000000004,0.086112,0.030798000000000002
5/19/2000,0.002709,0.025207,-0.001363,-0.003611,-0.023504,-0.00461,-0.033224000000000004,-0.037314,-0.015007,0.073897,-0.009647,-0.042748,-0.008536,-0.00135,0.011535
5/26/2000,-0.033611,-0.035439,0.004236,0.008438,-0.015512999999999999,-0.004366,-0.009426,0.028460000000000003,-0.035424000000000004,-0.093859,-0.020399,-0.048825,-0.0083,0.013513999999999998,0.006798
6/2/2000,-0.002865,-0.015823,0.001105,0.002012,0.022511,0.005939,0.083926,0.066186,0.09447,0.092221,0.07234,0.210944,0.033415,0.012,-0.005825
6/9/2000,-0.007456999999999999,-0.007213,-0.000981,-0.0017809999999999998,0.004471,0.006979000000000001,-0.024719,-0.026996,0.010223000000000001,0.052146000000000005,-0.013588999999999999,0.001222,0.007736,-0.00527,-0.003999
6/16/2000,-0.0077659999999999995,-0.011381,0.003411,0.004856,0.0073030000000000005,0.003558,-0.001466,0.013088999999999998,-0.019896,0.003595,0.005444,0.007206999999999999,0.016793000000000002,0.07053,0.004109000000000001
6/23/2000,0.02175,0.031541,-0.001888,-0.005326,-0.003268,0.002523,-0.006763,-0.020483,-0.010478,-0.016777,-0.015631,-0.026948000000000003,-0.022001,0.07176,0.007391
6/30/2000,-0.008612,-0.017013999999999998,0.001296,0.0031320000000000002,-0.010594,0.0020559999999999997,-0.018171,-0.012326,0.015101,0.03035,0.009276000000000001,0.021297999999999997,0.023521,-0.062049,-0.0011359999999999999
7/7/2000,0.0045,0.004749000000000001,0.000813,0.000168,-0.0012519999999999999,0.002245,0.020935,0.029449,0.014302,0.032133999999999996,0.017068,0.020586,-0.023629,-0.06830800000000001,-0.029894
7/14/2000,0.001974,0.010968,-0.0008820000000000001,-0.001032,0.0033009999999999997,0.002564,0.013241,-0.003414,0.007421,0.032267000000000004,0.021128,0.052035000000000005,0.011587,0.036988,0.004351
7/21/2000,0.012953999999999999,0.0021149999999999997,0.001137,0.00126,-0.002372,0.0035039999999999997,-0.015377000000000002,-0.01464,-0.027367000000000002,0.018179,-0.019672,-0.032763,-0.004176,-0.090446,-0.011648
7/28/2000,0.005787,0.015465000000000001,0.001092,0.0015019999999999999,-0.008666,-0.0025570000000000002,-0.033235,-0.006701,-0.047944,-0.080166,-0.040557,-0.110378,-0.008747,-0.013305,-0.009988
8/4/2000,0.019056,0.016587,0.001335,0.0010810000000000001,-0.017622,0.000364,-0.001978,0.004698,0.005842,0.026784,0.030618,0.040641000000000004,-0.019703000000000002,0.063165,0.017571
8/11/2000,0.003256,0.006693999999999999,0.000392,0.0008699999999999999,0.009484999999999999,0.002438,0.025792000000000002,0.004601,0.005628,-0.03857,0.006468000000000001,0.00718,0.006104,0.035381,0.013287
