;IDX0AUDEURCR;IDX0CHFEURCR;IDX0GBPEURCR;IDX0JPYEURCR;IDX0NOKEURCR;IDX0USDEURCR;IDX0BRLEURCR;IDX0MXNEURCR;IDX0IDREURCR;IDX0INREURCR;IDX0PHPEURCR;IDX0CNYUSDCR;IDX0SGDEURCR;JPMIT1T3;JPMIT3T5;JPMIT5T7;JPMES3T5;JPMES5T7;JPMPT3T5;JPMPT5T7;JPMEMU1T3;JPMEMUGBI;JPMDE5T7;JPMDE7T10;JPMUS3T5;JPMUS5T7;JPMUS7T10;JPILUILA;JPEIGLBL;JGENEMUL;JPEG103;JPEG305;JPEE13YR;JPEE35YR;ER01;ER02;HE00;H0A0;IDX0LX10TUUU;IDX0DBCDXHY5;IDX0DBCDIU5T;IDX0ITRXPX5I;EU0009658152;IDX00000SX7T;SWISSMIC;FTPTT100;GDUEEGF;MSCI0GDLETCF;SPTR;IDX0SPTRFINL;NASDAQ100;NIKKEITR;IDX00GOLDBUL;IDX000WTIOIL;IDX00DJUBSCM;IT0000000BOT;JPMCASH3M
29-ago-01;117.294;102.9724;119.0892;111.401;120.2336;135.6918;87.6374;212.6254;162.6245;146.8097;131.7413;110.4986;117.6571;177.8129;201.5973;252.827;185.8634;220.8123;191.1039;220.8774;148.5503;173.088;164.2654;168.9115;287.523;311.042;325.171;-9999;207.18;-9999;141.92469;146.58202;115.1627;134.71751;123.779;130.522;84.652;365.918;-9999;-9999;-9999;-9999;4908.35;408.23;8435.2;2557.12;423.278;18.375;1612.047;406.05;1499.76;-9999;160.57;27.05;102.5092;233.4;251.441
30-ago-01;117.0781;103.0975;118.6694;111.1835;120.2173;134.6211;87.4635;209.9068;165.3199;145.6528;130.8086;110.5035;116.8436;178.0606;202.0394;253.4457;186.2195;221.3929;191.52;221.5367;148.7476;173.4605;164.7007;169.3478;287.677;311.054;324.917;-9999;205.99;-9999;141.06626;146.29923;114.83712;135.00596;123.931;130.745;84.752;366.084;-9999;-9999;-9999;-9999;4786.06;399.58;8360.2;2517.01;420.797;18.483;1584.773;403.52;1453.9;-9999;161.56;26.55;101.3286;233.49;251.436
31-ago-01;116.9279;103.0551;118.8644;112.2022;120.3917;135.1778;86.7809;210.6292;167.2572;146.2886;131.8436;110.5009;117.7934;178.1021;202.1551;253.4696;186.2405;221.3858;191.5705;221.5104;148.7682;173.3139;164.6566;169.1046;287.674;310.9;324.443;-9999;205.8;-9999;140.92946;146.30791;115.26851;135.19789;123.933;130.765;85.111;366.076;-9999;-9999;-9999;-9999;4796.18;402.39;8437.5;2522.82;418.085;18.292;1591.182;405.26;1469.7;-9999;160.98;27.2;102.2247;233.56;251.483
03-set-01;117.0159;103.0437;119.5044;112.8251;121.1524;135.8887;87.2217;212.0282;165.8896;147.044;132.6845;110.5015;118.455;178.2143;202.2825;253.6923;186.3916;221.5519;191.7346;221.7174;148.8481;173.4342;164.8016;169.1814;287.674;310.9;324.443;-9999;-9999;-9999;-9999;-9999;-9999;-9999;123.954;130.782;85.545;366.282;-9999;-9999;-9999;-9999;4728.35;397.44;8278.5;2507.31;414.205;17.531;1591.182;-9999;-9999;-9999;-9999;-9999;102.2247;233.6;251.567
04-set-01;118.0846;103.2303;121.2362;114.5982;122.2563;138.7282;89.5343;216.5916;169.4117;150.1982;135.3952;110.5061;120.4394;177.7707;201.3423;252.0759;185.6282;220.1434;190.7846;220.3311;148.4871;172.4438;163.7233;167.9533;285.759;308.158;320.951;-9999;207.32;-9999;141.65007;146.9605;115.35104;135.18337;123.581;130.139;85.555;366.419;-9999;-9999;-9999;-9999;4786.05;400.16;8412.5;2539.17;416.566;18.157;1590.293;403.25;1424.12;-9999;159.35;26.93;101.3511;233.6;251.594
05-set-01;118.2702;103.2931;122.6361;113.6139;122.2996;139.0996;88.8191;215.7313;168.7386;150.587;135.2715;110.5058;120.4457;177.7608;201.2025;251.9542;185.5541;219.9936;190.7457;220.2139;148.4803;172.3437;163.548;167.8068;286.132;308.567;321.366;-9999;207.03;-9999;141.61825;147.10831;116.44847;135.65245;123.476;129.864;85.756;365.919;-9999;-9999;-9999;-9999;4658.42;393.18;8342.3;2510.3;413.666;17.765;1588.926;398.72;1415.3;-9999;159.58;26.95;101.3486;233.58;251.615
06-set-01;117.485;103.3178;121.3543;112.3078;122.0438;137.6666;88.0421;212.3652;168.1136;148.9588;133.6606;110.5113;119.2538;178.0171;201.6813;252.6638;185.9607;220.7487;191.2046;220.9143;148.6975;172.8508;164.1387;168.3973;287.452;310.459;323.884;-9999;205.81;-9999;140.66738;146.62195;116.94616;136.04509;123.584;129.909;85.496;365.393;-9999;-9999;-9999;-9999;4547.1;384.43;8198;2457.55;408.343;17.092;1553.41;391.2;1361.69;-9999;160.11;27.58;101.1807;233.65;251.643
07-set-01;115.3602;102.8778;120.1409;111.5686;121.3677;135.8721;87.5471;208.6599;163.7396;146.803;132.3489;110.5162;117.9771;178.3192;202.1949;253.3947;186.4004;221.5026;191.7426;221.6963;148.9425;173.3437;164.7768;168.9902;288.504;311.746;325.474;-9999;205.21;-9999;139.97085;146.35475;117.05214;136.07818;123.594;129.975;84.693;364.505;-9999;-9999;-9999;-9999;4427.05;373.28;8018.5;2394.25;406.907;16.738;1524.473;382.65;1354.27;-9999;160.17;28.03;101.6204;233.71;251.681
10-set-01;115.192;103.0074;121.0164;111.7624;121.4608;137.3049;87.0914;210.0762;166.4709;148.1077;133.463;110.5179;118.9506;178.2713;202.0138;253.0139;186.2402;221.0706;191.512;221.2758;148.9042;173.0742;164.4982;168.6367;288.449;311.308;324.703;-9999;204.99;-9999;139.93273;146.33464;117.25914;136.19111;123.797;130.092;84.123;364.434;-9999;-9999;-9999;-9999;4406.73;367.49;7855.5;2376.96;403.445;16.564;1533.981;384.09;1365.39;-9999;159.35;27.63;101.161;233.8;251.784
11-set-01;-9999;-9999;-9999;-9999;-9999;-9999;83.8805;203.9258;163.5329;145.5299;131.231;110.5197;116.9544;178.3051;202.0579;253.0664;186.5738;221.909;191.5482;221.3216;149.137;173.4427;165.3591;168.9351;-9999;313.754;327.536;-9999;-9999;-9999;-9999;-9999;117.33832;136.53148;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;4124.46;340.5;7300.1;2241.1;390.213;16.822;1533.981;384.09;-9999;-9999;159.35;-9999;101.161;233.82;251.812
12-set-01;114.7703;103.7784;120.7713;112.0749;121.6483;135.9934;83.7741;207.3456;165.7038;146.5378;132.4702;110.5219;118.6456;178.9893;202.9074;253.7465;187.1294;222.3951;192.5612;222.5222;149.4845;173.5736;165.5979;169.2723;-9999;313.801;327.582;-9999;-9999;-9999;-9999;-9999;115.6695;133.83192;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;4176.5;342.21;7483.9;2305.85;379.987;15.291;1533.981;-9999;-9999;-9999;-9999;28.24;101.161;233.9;251.879
